x,y
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.12224496457091448,-0.007637471221133937
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.09738425418671114,-0.10008797459250379
-0.039455727233062024,-0.17950369018077794
-0.039455727233062024,-0.17950369018077794
-0.039455727233062024,-0.17950369018077794
-0.039455727233062024,-0.17950369018077794
-0.039455727233062024,-0.17950369018077794
-0.039455727233062024,-0.17950369018077794
-0.039455727233062024,-0.17950369018077794
